ID,Severity,Event Type,Event Description,Generation Time,Status,Event Code,Suggestion
"436","Major","Disk","The disk Disk1 remnant media wearout is lower than the threshold (5%) (SN:034BBTN0P8016958).","2025-07-17 07:23:03","Deasserted","0x0200001E","N/A"
"435","Normal","Disk","The disk Disk1 is replaced from SN(034HBJFSN2002922) to SN(034BBTN0P8016958) (SN:034BBTN0P8016958).","2025-07-17 07:22:55","Asserted","0x02000023",""
"434","Normal","Disk","RAID rebuild starts at the disk Disk1 (SN:034BBTN0P8016958).","2025-07-17 07:22:55","Asserted","0x0200000D",""
"433","Major","Disk","The disk Disk0 remnant media wearout (3%) is lower than the threshold (5%) (SN:034HBJFSN2006773).","2025-07-17 07:22:53","Asserted","0x0200001D","Replace the disk."
"432","Minor","Disk","The disk Disk1 state is abnormal.","2025-07-17 07:22:50","Deasserted","0x02000028","N/A"
"431","Minor","Disk","The disk Disk1 state is abnormal.","2025-07-17 07:22:24","Asserted","0x02000027","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"430","Major","Disk","The disk Disk1 RAID array is invalid.","2025-07-17 07:22:24","Deasserted","0x0200000C","N/A"
"429","Normal","Disk","The disk Disk1 installed.","2025-07-17 07:22:04","Asserted","0x02000003",""
"428","Major","Disk","The disk Disk1 RAID array is invalid.","2025-07-17 07:21:07","Asserted","0x0200000B","1. If a member disk is removed, reinstall the disk.2. If all member disks are installed, replace the faulty disks."
"427","Normal","Disk","The disk Disk1 removed.","2025-07-17 07:20:44","Asserted","0x02000005",""
"426","Normal","Disk","The disk Disk8 is replaced from SN(034BBPN0NC010809) to SN(034BBPN0NC010579) (SN:034BBPN0NC010579).","2025-07-17 06:45:02","Asserted","0x02000023",""
"425","Normal","Disk","The disk Disk10 is replaced from SN(034BBPN0NC010579) to SN(034BBPN0NC010809) (SN:034BBPN0NC010809).","2025-07-17 06:45:00","Asserted","0x02000023",""
"424","Normal","Disk","The disk Disk9 installed.","2025-07-17 06:44:18","Asserted","0x02000003",""
"423","Normal","Disk","The disk Disk10 installed.","2025-07-17 06:44:09","Asserted","0x02000003",""
"422","Normal","Disk","The disk Disk8 installed.","2025-07-17 06:44:03","Asserted","0x02000003",""
"421","Major","System","Failed RAID array detected.","2025-07-16 10:53:32","Deasserted","0x2C000076","N/A"
"420","Normal","Disk","RAID rebuild at the disk Disk1 stopped (SN:034HBJFSN2002922).","2025-07-16 10:53:15","Asserted","0x0200000F",""
"419","Minor","Disk","The disk Disk1 has foreign configuration (SN:034HBJFSN2002922).","2025-07-16 10:01:25","Deasserted","0x0200002A","N/A"
"418","Normal","Disk","RAID rebuild starts at the disk Disk1 (SN:034HBJFSN2002922).","2025-07-16 10:01:24","Asserted","0x0200000D",""
"417","Minor","Disk","The disk Disk9 has foreign configuration.","2025-07-16 07:57:16","Deasserted","0x0200002A","N/A"
"416","Normal","Disk","The disk Disk9 removed.","2025-07-16 07:57:11","Asserted","0x02000005",""
"415","Minor","Disk","The disk Disk10 has foreign configuration.","2025-07-16 07:57:08","Deasserted","0x0200002A","N/A"
"414","Normal","Disk","The disk Disk10 removed.","2025-07-16 07:57:03","Asserted","0x02000005",""
"413","Minor","Disk","The disk Disk8 has foreign configuration.","2025-07-16 07:56:59","Deasserted","0x0200002A","N/A"
"412","Normal","Disk","The disk Disk8 removed.","2025-07-16 07:56:52","Asserted","0x02000005",""
"411","Major","Disk","The disk Disk1 failure (SN:034HBJFSN2002922).","2025-07-16 07:42:49","Deasserted","0x02000008","N/A"
"410","Minor","Disk","The disk Disk1 has foreign configuration (SN:034HBJFSN2002922).","2025-07-16 07:42:49","Asserted","0x02000029","Clear or import the configuration."
"409","Minor","Disk","The disk Disk1 state is abnormal (SN:034HBJFSN2002922).","2025-07-16 07:42:49","Deasserted","0x02000028","N/A"
"408","Minor","Disk","The disk Disk10 has foreign configuration (SN:034BBPN0NC010579).","2025-07-16 07:19:01","Asserted","0x02000029","Clear or import the configuration."
"407","Minor","Disk","The disk Disk8 has foreign configuration (SN:034BBPN0NC010809).","2025-07-16 07:18:53","Asserted","0x02000029","Clear or import the configuration."
"406","Minor","Disk","The disk Disk9 has foreign configuration (SN:034BBPN0NC010902).","2025-07-16 07:18:44","Asserted","0x02000029","Clear or import the configuration."
"405","Normal","Disk","The disk Disk10 installed.","2025-07-16 07:18:00","Asserted","0x02000003",""
"404","Normal","Disk","The disk Disk9 installed.","2025-07-16 07:17:49","Asserted","0x02000003",""
"403","Major","Disk","The disk Disk1 failure (SN:034HBJFSN2002922).","2025-07-16 07:17:44","Asserted","0x02000007","Replace the hard disk."
"402","Normal","Disk","The disk Disk8 installed.","2025-07-16 07:17:41","Asserted","0x02000003",""
"401","Minor","Disk","The disk Disk1 state is abnormal.","2025-07-16 07:17:10","Asserted","0x02000027","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"400","Major","Disk","The disk Disk1 RAID array is invalid.","2025-07-16 07:17:10","Deasserted","0x0200000C","N/A"
"399","Normal","Disk","The disk Disk1 installed.","2025-07-16 07:16:49","Asserted","0x02000003",""
"398","Major","System","Failed RAID array detected.","2025-07-16 07:08:29","Asserted","0x2C000075","Check all RAID arrays and perform the following operations for the RAID arrays in abnormal state: 1. If a member disk is removed, reinstall the disk. 2. If all member disks are installed, replace the faulty disks."
"397","Major","Disk","The disk Disk1 RAID array is invalid.","2025-07-16 07:08:23","Asserted","0x0200000B","1. If a member disk is removed, reinstall the disk.2. If all member disks are installed, replace the faulty disks."
"396","Normal","Disk","The disk Disk1 removed.","2025-07-16 07:07:56","Asserted","0x02000005",""
"395","Major","Disk","The disk Disk1 remnant media wearout (4%) is lower than the threshold (5%) (SN:034HBJFSN2002922).","2025-07-11 13:52:55","Asserted","0x0200001D","Replace the disk."
"394","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-07-10 10:24:14","Deasserted","0x1A00001E","N/A"
"393","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-07-03 10:22:38","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"392","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2025-06-17 11:22:16","Asserted","0x06000015",""
"391","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2025-06-17 11:18:17","Asserted","0x06000013","Install BBU."
"390","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-04-26 10:30:13","Deasserted","0x1A00001E","N/A"
"389","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-04-16 23:25:09","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"388","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2025-03-01 08:52:17","Asserted","0x06000015",""
"387","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2025-03-01 08:51:23","Asserted","0x06000013","Install BBU."
"386","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-02-09 06:54:11","Deasserted","0x1A00001E","N/A"
"385","Normal","BMC","iBMC security log has reached 90% space capacity.","2025-02-06 02:11:10","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"384","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-12-05 19:18:14","Deasserted","0x1A00001E","N/A"
"383","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-11-27 12:06:09","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"382","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-11-23 08:08:27","Asserted","0x06000015",""
"381","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-11-23 08:08:00","Asserted","0x06000013","Install BBU."
"380","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-09-12 10:12:15","Deasserted","0x1A00001E","N/A"
"379","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-09-06 02:41:35","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"378","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 15:15:38","Deasserted","0x29000002","N/A"
"377","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 15:15:38","Deasserted","0x29000002","N/A"
"376","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 15:12:29","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"375","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 15:12:29","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"374","Normal","System","The host was restarted due to unrecognized reason.","2024-07-19 15:12:18","Asserted","0x2C00000F",""
"373","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 14:21:18","Deasserted","0x29000002","N/A"
"372","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 14:21:14","Deasserted","0x29000002","N/A"
"371","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 14:18:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"370","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 14:18:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"369","Normal","System","The host was restarted due to unrecognized reason.","2024-07-19 14:17:55","Asserted","0x2C00000F",""
"368","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 13:43:48","Deasserted","0x29000002","N/A"
"367","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 13:43:48","Deasserted","0x29000002","N/A"
"366","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 13:43:38","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"365","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 13:43:38","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"364","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 13:43:06","Deasserted","0x29000002","N/A"
"363","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 13:43:02","Deasserted","0x29000002","N/A"
"362","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-07-19 13:39:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"361","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-07-19 13:39:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"360","Normal","System","The host was restarted due to unrecognized reason.","2024-07-19 13:39:42","Asserted","0x2C00000F",""
"359","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-07-11 10:06:18","Deasserted","0x1A00001E","N/A"
"358","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-07-09 10:10:57","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"357","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-07-03 01:18:26","Asserted","0x06000015",""
"356","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-07-03 01:14:05","Asserted","0x06000013","Install BBU."
"355","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-05-29 17:24:13","Deasserted","0x1A00001E","N/A"
"354","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-24 01:37:14","Asserted","0x06000015",""
"353","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-24 01:33:23","Asserted","0x06000013","Install BBU."
"352","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-05-22 02:53:26","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"351","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-08 12:19:18","Asserted","0x06000015",""
"350","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-08 12:18:07","Asserted","0x06000013","Install BBU."
"349","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-07 20:19:30","Asserted","0x06000015",""
"348","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-05-07 20:18:07","Asserted","0x06000013","Install BBU."
"347","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-04-19 23:54:09","Deasserted","0x1A00001E","N/A"
"346","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-04-19 04:52:27","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"345","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-03-22 23:36:16","Deasserted","0x1A00001E","N/A"
"344","Normal","BMC","iBMC security log has reached 90% space capacity.","2024-03-22 07:37:52","Asserted","0x1A00001D","1. Export the security logs.2. Enable remote syslog dump."
"343","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-08 02:20:18","Deasserted","0x29000002","N/A"
"342","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-08 02:20:18","Deasserted","0x29000002","N/A"
"341","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-08 02:17:08","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"340","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-08 02:17:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"339","Normal","System","The host was restarted due to unrecognized reason.","2024-03-08 02:16:58","Asserted","0x2C00000F",""
"338","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-08 01:13:25","Deasserted","0x29000002","N/A"
"337","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-08 01:13:24","Deasserted","0x29000002","N/A"
"336","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-08 01:10:14","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"335","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-08 01:10:14","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"334","Normal","System","The host was restarted due to unrecognized reason.","2024-03-08 01:10:05","Asserted","0x2C00000F",""
"333","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 23:22:34","Deasserted","0x29000002","N/A"
"332","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 23:22:34","Deasserted","0x29000002","N/A"
"331","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 23:19:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"330","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 23:19:24","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"329","Normal","System","The host was restarted due to unrecognized reason.","2024-03-07 23:19:13","Asserted","0x2C00000F",""
"328","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 21:27:50","Deasserted","0x29000002","N/A"
"327","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 21:27:50","Deasserted","0x29000002","N/A"
"326","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 21:24:40","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"325","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 21:24:37","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"324","Normal","System","The host was restarted due to unrecognized reason.","2024-03-07 21:24:30","Asserted","0x2C00000F",""
"323","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 20:35:44","Deasserted","0x29000002","N/A"
"322","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 20:35:35","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"321","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 20:35:00","Deasserted","0x29000002","N/A"
"320","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 20:35:00","Deasserted","0x29000002","N/A"
"319","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 20:31:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"318","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 20:31:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"317","Normal","System","The host was restarted due to unrecognized reason.","2024-03-07 20:31:41","Asserted","0x2C00000F",""
"316","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 16:08:31","Deasserted","0x29000002","N/A"
"315","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 16:08:31","Deasserted","0x29000002","N/A"
"314","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 16:05:18","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"313","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 16:05:18","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"312","Normal","System","The host was restarted due to unrecognized reason.","2024-03-07 16:05:09","Asserted","0x2C00000F",""
"311","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 13:06:43","Deasserted","0x29000002","N/A"
"310","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 13:06:43","Deasserted","0x29000002","N/A"
"309","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-07 13:03:33","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"308","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-07 13:03:30","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"307","Normal","System","The host was restarted due to unrecognized reason.","2024-03-07 13:03:21","Asserted","0x2C00000F",""
"306","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-06 07:44:19","Deasserted","0x29000002","N/A"
"305","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-06 07:44:19","Deasserted","0x29000002","N/A"
"304","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-06 07:41:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"303","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-06 07:41:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"302","Normal","System","The host was restarted due to unrecognized reason.","2024-03-06 07:40:56","Asserted","0x2C00000F",""
"301","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-05 23:42:35","Deasserted","0x29000002","N/A"
"300","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-05 23:42:35","Deasserted","0x29000002","N/A"
"299","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-05 23:39:23","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"298","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-05 23:39:23","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"297","Normal","System","The host was restarted due to unrecognized reason.","2024-03-05 23:39:15","Asserted","0x2C00000F",""
"296","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-05 09:15:12","Deasserted","0x29000002","N/A"
"295","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-05 09:15:08","Deasserted","0x29000002","N/A"
"294","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-05 09:12:01","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"293","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-05 09:11:58","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"292","Normal","System","The host was restarted due to unrecognized reason.","2024-03-05 09:11:49","Asserted","0x2C00000F",""
"291","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-01 04:09:52","Deasserted","0x29000002","N/A"
"290","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-01 04:09:51","Deasserted","0x29000002","N/A"
"289","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-03-01 04:06:43","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"288","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-03-01 04:06:42","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"287","Normal","System","The host was restarted due to unrecognized reason.","2024-03-01 04:06:32","Asserted","0x2C00000F",""
"286","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-29 23:55:28","Deasserted","0x29000002","N/A"
"285","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-29 23:55:28","Deasserted","0x29000002","N/A"
"284","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-29 23:52:19","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"283","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-29 23:52:19","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"282","Normal","System","The host was restarted due to unrecognized reason.","2024-02-29 23:52:07","Asserted","0x2C00000F",""
"281","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-22 05:18:00","Deasserted","0x29000002","N/A"
"280","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-22 05:17:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"279","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-22 05:17:19","Deasserted","0x29000002","N/A"
"278","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-22 05:17:16","Deasserted","0x29000002","N/A"
"277","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-22 05:14:10","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"276","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-22 05:14:09","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"275","Normal","System","The host was restarted due to unrecognized reason.","2024-02-22 05:13:57","Asserted","0x2C00000F",""
"274","Normal","RAID Card","RAID card 1 BBU is present (SN:033EFTBBL7032377, BN:03024JMY).","2024-02-20 18:40:24","Asserted","0x06000015",""
"273","Normal","RAID Card","RAID card 1 BBU is absent (SN:033EFTBBL7032377, BN:03024JMY).","2024-02-20 18:38:02","Asserted","0x06000013","Install BBU."
"272","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-20 00:36:11","Deasserted","0x29000002","N/A"
"271","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-20 00:36:08","Deasserted","0x29000002","N/A"
"270","Normal","Port","NIC 1 (TM280) Port 1 disconnected.","2024-02-20 00:33:01","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"269","Normal","Port","NIC 2 (TM280) Port 1 disconnected.","2024-02-20 00:32:58","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
